DATE,B009RC1Q027SBEA
1955-01-01,14.274
1955-04-01,14.744
1955-07-01,15.438
1955-10-01,16.172
1956-01-01,17.415
1956-04-01,17.982
1956-07-01,18.59
1956-10-01,18.733
1957-01-01,18.77
1957-04-01,18.992
1957-07-01,19.096
1957-10-01,18.942
1958-01-01,18.084
1958-04-01,17.594
1958-07-01,17.259
1958-10-01,17.579
1959-01-01,17.397
1959-04-01,18.037
1959-07-01,18.644
1959-10-01,18.519
1960-01-01,19.36
1960-04-01,19.473
1960-07-01,19.418
1960-10-01,20.022
1961-01-01,19.929
1961-04-01,19.634
1961-07-01,19.665
1961-10-01,19.632
1962-01-01,20.03
1962-04-01,20.828
1962-07-01,21.355
1962-10-01,20.9
1963-01-01,20.233
1963-04-01,21.233
1963-07-01,21.436
1963-10-01,21.891
1964-01-01,22.425
1964-04-01,23.45
1964-07-01,24.25
1964-10-01,24.823
1965-01-01,26.142
1965-04-01,28.166
1965-07-01,28.535
1965-10-01,30.442
1966-01-01,31.098
1966-04-01,31.172
1966-07-01,31.907
1966-10-01,31.217
1967-01-01,31.668
1967-04-01,30.934
1967-07-01,31.476
1967-10-01,31.966
1968-01-01,33.051
1968-04-01,33.184
1968-07-01,33.232
1968-10-01,34.762
1969-01-01,35.794
1969-04-01,36.671
1969-07-01,38.931
1969-10-01,39.399
1970-01-01,39.49
1970-04-01,40.313
1970-07-01,40.578
1970-10-01,40.767
1971-01-01,41.504
1971-04-01,42.335
1971-07-01,43.118
1971-10-01,43.758
1972-01-01,45.781
1972-04-01,46.607
1972-07-01,47.314
1972-10-01,48.99
1973-01-01,51.327
1973-04-01,54.06
1973-07-01,56.831
1973-10-01,57.714
1974-01-01,58.984
1974-04-01,61.333
1974-07-01,61.417
1974-10-01,63.214
1975-01-01,61.682
1975-04-01,60.409
1975-07-01,61.275
1975-10-01,62.034
1976-01-01,64.099
1976-04-01,65.057
1976-07-01,66.683
1976-10-01,67.821
1977-01-01,69.732
1977-04-01,73.631
1977-07-01,76.409
1977-10-01,78.54
1978-01-01,80.018
1978-04-01,90.259
1978-07-01,98.559
1978-10-01,105.498
1979-01-01,107.879
1979-04-01,112.844
1979-07-01,121.814
1979-10-01,128.268
1980-01-01,132.557
1980-04-01,132.299
1980-07-01,135.769
1980-10-01,144.056
1981-01-01,150.017
1981-04-01,161.01
1981-07-01,169.743
1981-10-01,188.485
1982-01-01,186.622
1982-04-01,182.45
1982-07-01,172.926
1982-10-01,168.257
1983-01-01,158.581
1983-04-01,149.502
1983-07-01,152.648
1983-10-01,156.644
1984-01-01,165.735
1984-04-01,175.807
1984-07-01,182.528
1984-10-01,185.519
1985-01-01,194.875
1985-04-01,195.236
1985-07-01,192.21
1985-10-01,195.751
1986-01-01,191.672
1986-04-01,174.504
1986-07-01,169.021
1986-10-01,170.911
1987-01-01,166.921
1987-04-01,169.576
1987-07-01,177.585
1987-10-01,182.728
1988-01-01,178.614
1988-04-01,184.151
1988-07-01,183.452
1988-10-01,184.943
1989-01-01,189.505
1989-04-01,189.565
1989-07-01,197.739
1989-10-01,198.056
1990-01-01,204.137
1990-04-01,204.572
1990-07-01,205.516
1990-10-01,197.443
1991-01-01,194.901
1991-04-01,189.888
1991-07-01,177.485
1991-10-01,172.151
1992-01-01,169.931
1992-04-01,170.64
1992-07-01,173.047
1992-10-01,176.671
1993-01-01,175.587
1993-04-01,174.132
1993-07-01,175.971
1993-10-01,182.914
1994-01-01,178.514
1994-04-01,187.092
1994-07-01,188.085
1994-10-01,193.38
1995-01-01,201.169
1995-04-01,207.376
1995-07-01,210.305
1995-10-01,210.232
1996-01-01,214.308
1996-04-01,219.793
1996-07-01,225.302
1996-10-01,238.928
1997-01-01,242.66
1997-04-01,242.624
1997-07-01,255.654
1997-10-01,260.124
1998-01-01,261.74
1998-04-01,278.92
1998-07-01,280.799
1998-10-01,282.556
1999-01-01,284.024
1999-04-01,283.078
1999-07-01,285.085
1999-10-01,290.707
2000-01-01,300.591
2000-04-01,316.209
2000-07-01,330.932
2000-10-01,336.288
2001-01-01,331.757
2001-04-01,338.872
2001-07-01,347.091
2001-10-01,316.321
2002-01-01,302.665
2002-04-01,289.347
2002-07-01,278.214
2002-10-01,277.719
2003-01-01,279.223
2003-04-01,286.906
2003-07-01,287.938
2003-10-01,292.354
2004-01-01,292.302
2004-04-01,300.777
2004-07-01,313.984
2004-10-01,323.55
