DATE,LFWATTTTUSM647S
1960-01-01,117244916.66666667
1961-01-01,118770166.66666667
1962-01-01,120152916.66666667
1963-01-01,122416250.00000000
1964-01-01,124484833.33333333
1965-01-01,126513250.00000000
1966-01-01,128057666.66666667
1967-01-01,129873416.66666667
1968-01-01,132027333.33333333
1969-01-01,134334500.00000000
1970-01-01,137085666.66666667
1971-01-01,140216333.33333333
1972-01-01,144125416.66666667
1973-01-01,147097083.33333333
1974-01-01,150121083.33333333
1975-01-01,153152583.33333333
1976-01-01,156149250.00000000
1977-01-01,159033083.33333333
1978-01-01,161910666.66666667
1979-01-01,164864416.66666667
1980-01-01,167745583.33333333
1981-01-01,170129833.33333333
1982-01-01,172271166.66666667
1983-01-01,174215500.00000000
1984-01-01,176382916.66666667
1985-01-01,178205666.66666667
1986-01-01,180586750.00000000
1987-01-01,182752750.00000000
1988-01-01,184612583.33333333
1989-01-01,186392666.66666667
1990-01-01,189163750.00000000
1991-01-01,190924833.33333333
1992-01-01,192805333.33333333
1993-01-01,194837583.33333333
1994-01-01,196814500.00000000
1995-01-01,198584000.00000000
1996-01-01,200590416.66666667
1997-01-01,203133166.66666667
1998-01-01,205220000.00000000
1999-01-01,207752916.66666667
2000-01-01,212576750.00000000
2001-01-01,215092500.00000000
2002-01-01,217569583.33333333
2003-01-01,221167916.66666667
2004-01-01,223356833.33333333
2005-01-01,226082583.33333333
2006-01-01,228814666.66666667
2007-01-01,231867000.00000000
2008-01-01,233788000.00000000
2009-01-01,235801000.00000000
2010-01-01,237829333.33333333
2011-01-01,239617500.00000000
2012-01-01,243284333.33333333
2013-01-01,245679333.33333333
2014-01-01,247946583.33333333
2015-01-01,250800583.33333333
2016-01-01,253537500.00000000
2017-01-01,255079000.00000000
2018-01-01,257790666.66666667
2019-01-01,259175000.00000000
2020-01-01,260329000.00000000
